# DipoleMomentWriter[version=1](center=False, density='comp')
#            time            norm                    dmx                    dmy                    dmz
         12.40241200      -6.66133815e-16     5.329070518201e-15    -5.773159728051e-15     2.131628207280e-14
         12.81582574      -7.77156117e-16     1.243449787580e-14     2.042810365310e-14     2.131628207280e-14
         13.22923947      -1.05471187e-15     1.154631945610e-14     8.881784197001e-15     3.197442310920e-14
         13.64265320      -1.11022302e-16     4.440892098501e-15     8.881784197001e-15     2.398081733190e-14
         14.05606694       1.11022302e-16    -2.664535259100e-15     7.993605777301e-15     1.332267629550e-14
         14.46948067      -8.88178420e-16     1.154631945610e-14     3.996802888651e-15     2.220446049250e-14
         14.88289440      -3.33066907e-16     3.552713678801e-15    -5.773159728051e-15     1.509903313490e-14
         15.29630814       1.11022302e-15    -1.065814103640e-14    -7.549516567451e-15     1.776356839400e-15
         15.70972187      -1.11022302e-16     8.881784197001e-16     1.776356839400e-15     1.421085471520e-14
         16.12313560      -8.32667268e-16     8.881784197001e-15     3.108624468950e-15     1.243449787580e-14
         16.53654934       3.33066907e-16    -4.440892098501e-15     0.000000000000e+00     1.776356839400e-15
         16.94996307      -2.77555756e-16     8.881784197001e-16     4.440892098501e-15     8.881784197001e-15
         17.36337680      -8.88178420e-16     6.217248937901e-15     4.440892098501e-16     2.575717417130e-14
         17.77679054      -5.55111512e-16     4.440892098501e-15    -4.440892098501e-16     2.842170943040e-14
         18.19020427      -5.55111512e-16     6.217248937901e-15     8.881784197001e-16     2.486899575160e-14
         18.60361800      -1.49880108e-15     1.243449787580e-14     1.154631945610e-14     3.552713678801e-14
         19.01703174      -1.11022302e-16     2.664535259100e-15     3.552713678801e-15     1.776356839400e-14
         19.43044547      -4.99600361e-16     6.217248937901e-15     3.996802888651e-15     1.953992523340e-14
         19.84385921      -4.99600361e-16     4.440892098501e-15     9.769962616701e-15     2.309263891220e-14
         20.25727294      -1.11022302e-16     3.552713678801e-15    -6.217248937901e-15     8.881784197001e-15
         20.67068667      -1.11022302e-16     3.552713678801e-15     2.664535259100e-15     2.131628207280e-14
         21.08410041      -2.22044605e-16     2.664535259100e-15    -8.881784197001e-16     1.332267629550e-14
         21.49751414      -1.11022302e-15     1.065814103640e-14     1.998401444325e-14     2.220446049250e-14
         21.91092787      -4.99600361e-16     3.552713678801e-15     2.664535259100e-15     2.486899575160e-14
         22.32434161       5.55111512e-17    -5.329070518201e-15    -4.884981308351e-15     1.243449787580e-14
         22.73775534      -1.11022302e-16     8.881784197001e-16     7.993605777301e-15     3.286260152890e-14
         23.15116907      -2.77555756e-16    -8.881784197001e-16     4.884981308351e-15     1.687538997430e-14
         23.56458281      -6.10622664e-16     4.440892098501e-15     5.773159728051e-15     1.865174681370e-14
         23.97799654      -3.33066907e-16    -3.552713678801e-15    -3.996802888651e-15     1.953992523340e-14
         24.39141027      -4.99600361e-16     3.552713678801e-15     5.329070518201e-15     9.769962616701e-15
         24.80482401       3.33066907e-16    -7.105427357601e-15    -7.105427357601e-15     5.329070518201e-15
         25.21823774      -6.66133815e-16     2.664535259100e-15     2.220446049250e-15     2.309263891220e-14
         25.63165147      -7.21644966e-16     0.000000000000e+00    -8.881784197001e-16     2.131628207280e-14
         26.04506521      -8.88178420e-16     1.776356839400e-15     1.776356839400e-15     2.309263891220e-14
         26.45847894      -4.44089210e-16     0.000000000000e+00    -8.881784197001e-16     1.154631945610e-14
         26.87189267       7.21644966e-16    -1.509903313490e-14    -1.065814103640e-14    -1.065814103640e-14
