#    time          strength            derivative     
    9.467174     0.0000000000e+00     0.0000000000e+00
    9.508516     0.0000000000e+00     0.0000000000e+00
    9.549857     0.0000000000e+00     0.0000000000e+00
    9.591199     0.0000000000e+00     0.0000000000e+00
    9.632540     0.0000000000e+00     0.0000000000e+00
    9.673881     0.0000000000e+00     0.0000000000e+00
    9.715223     0.0000000000e+00     0.0000000000e+00
    9.756564     0.0000000000e+00     0.0000000000e+00
    9.797905     0.0000000000e+00     0.0000000000e+00
    9.839247     0.0000000000e+00     0.0000000000e+00
    9.880588     0.0000000000e+00     0.0000000000e+00
    9.921930     0.0000000000e+00     0.0000000000e+00
    9.963271     0.0000000000e+00     0.0000000000e+00
   10.004612     0.0000000000e+00     0.0000000000e+00
   10.045954     0.0000000000e+00     0.0000000000e+00
   10.087295     0.0000000000e+00     0.0000000000e+00
   10.128636     0.0000000000e+00     0.0000000000e+00
   10.169978     0.0000000000e+00     0.0000000000e+00
   10.211319     0.0000000000e+00     0.0000000000e+00
   10.252661     0.0000000000e+00     0.0000000000e+00
   10.294002     0.0000000000e+00     0.0000000000e+00
   10.335343     0.0000000000e+00     0.0000000000e+00
   10.376685     0.0000000000e+00     0.0000000000e+00
   10.418026     0.0000000000e+00     0.0000000000e+00
   10.459367     0.0000000000e+00     0.0000000000e+00
   10.500709     0.0000000000e+00     0.0000000000e+00
   10.542050     0.0000000000e+00     0.0000000000e+00
   10.583392     0.0000000000e+00     0.0000000000e+00
   10.624733     0.0000000000e+00     0.0000000000e+00
   10.666074     0.0000000000e+00     0.0000000000e+00
   10.707416     0.0000000000e+00     0.0000000000e+00
   10.748757     0.0000000000e+00     0.0000000000e+00
   10.790098     0.0000000000e+00     0.0000000000e+00
   10.831440     0.0000000000e+00     0.0000000000e+00
   10.872781     0.0000000000e+00     0.0000000000e+00
   10.914123     0.0000000000e+00     0.0000000000e+00
   10.955464     0.0000000000e+00     0.0000000000e+00
   10.996805     0.0000000000e+00     0.0000000000e+00
   11.038147     0.0000000000e+00     0.0000000000e+00
   11.079488     0.0000000000e+00     0.0000000000e+00
   11.120829     0.0000000000e+00     0.0000000000e+00
   11.162171     0.0000000000e+00     0.0000000000e+00
   11.203512     0.0000000000e+00     0.0000000000e+00
   11.244854     0.0000000000e+00     0.0000000000e+00
   11.286195     0.0000000000e+00     0.0000000000e+00
   11.327536     0.0000000000e+00     0.0000000000e+00
   11.368878     0.0000000000e+00     0.0000000000e+00
   11.410219     0.0000000000e+00     0.0000000000e+00
   11.451560     0.0000000000e+00     0.0000000000e+00
   11.492902     0.0000000000e+00     0.0000000000e+00
   11.534243     0.0000000000e+00     0.0000000000e+00
   11.575585     0.0000000000e+00     0.0000000000e+00
   11.616926     0.0000000000e+00     0.0000000000e+00
   11.658267     0.0000000000e+00     0.0000000000e+00
   11.699609     0.0000000000e+00     0.0000000000e+00
   11.740950     0.0000000000e+00     0.0000000000e+00
   11.782291     0.0000000000e+00     0.0000000000e+00
   11.823633     0.0000000000e+00     0.0000000000e+00
   11.864974     0.0000000000e+00     0.0000000000e+00
   11.906316     0.0000000000e+00     0.0000000000e+00
