# DipoleMomentWriter[version=1](center=False, density='comp')
#            time            norm                    dmx                    dmy                    dmz
         58.29133642      -5.33142445e-16     9.959233629715e-15     1.387178969853e-14    -2.235027372494e-04
         58.70475015      -1.44544674e-15     2.258611912453e-14     2.507592753196e-14    -2.259904006145e-04
         59.11816388      -3.35547209e-16     2.489808407429e-15     2.489808407429e-15    -2.282125702004e-04
         59.53157762      -1.50178708e-15     1.867356305572e-14     2.916632705845e-14    -2.302609261288e-04
         59.94499135      -5.39070514e-16     9.603546714368e-15     6.758051391593e-15    -2.322112947766e-04
         60.35840508      -2.64827691e-16     1.227119857947e-14     1.227119857947e-14    -2.341037270759e-04
         60.77181882       1.92494693e-16     3.912556068817e-15     5.335303730205e-15    -2.359392056658e-04
         61.18523255      -1.67616532e-16     5.868834103225e-15     1.831787614037e-14    -2.376905632965e-04
         61.59864628      -9.03705067e-16     1.742865885200e-14     1.920709342874e-14    -2.393175325235e-04
         62.01206002      -2.31657433e-15     2.685436210870e-14     3.272319621192e-14    -2.407781962656e-04
         62.42547375      -2.17482989e-15     2.738789248172e-14     2.969985743147e-14    -2.420359878872e-04
         62.83888748      -2.22612969e-15     2.560945790498e-14     2.027415417478e-14    -2.430644020902e-04
         63.25230122      -1.50896374e-15     2.116337146315e-14     2.578730136266e-14    -2.438491097983e-04
         63.66571495      -1.94233822e-15     2.116337146315e-14     2.560945790498e-14    -2.443848653136e-04
         64.07912868      -1.82010927e-15     2.756573593939e-14     2.987770088915e-14    -2.446672275153e-04
         64.49254242       6.48554063e-16    -7.825112137633e-15    -4.268242984164e-15    -2.446843026655e-04
         64.90595615       6.05520700e-16    -2.667651865102e-15     3.734712611143e-15    -2.444149434477e-04
         65.31936988      -5.81767930e-16     1.440532007155e-14     1.618375464829e-14    -2.438347228818e-04
         65.73278362      -8.02074137e-16     1.227119857947e-14     1.155982474878e-14    -2.429245141197e-04
         66.14619735       1.31176533e-15    -1.565022427527e-14    -8.714329426001e-15    -2.416753273946e-04
         66.55961108       2.20315038e-15    -2.400886678592e-14    -2.454239715894e-14    -2.400878675568e-04
         66.97302482       3.28845106e-16     1.778434576735e-16     4.623929899511e-15    -2.381702248427e-04
         67.38643855      -1.43050164e-15     1.814003268270e-14     1.529453735992e-14    -2.359368969853e-04
         67.79985228       6.15530282e-16     6.402364476246e-15    -8.892172883674e-16    -2.334083505207e-04
         68.21326602      -2.87195573e-16     9.781390172042e-15     1.262688549482e-14    -2.306084476561e-04
         68.62667975      -1.13308560e-15     1.689512847898e-14     1.707297193665e-14    -2.275599785377e-04
         69.04009348      -1.15615642e-15     1.529453735992e-14     2.329749295523e-14    -2.242821394087e-04
         69.45350722      -1.43177397e-16    -3.556869153470e-16     7.113738306940e-16    -2.207924166338e-04
         69.86692095      -4.43758946e-16     9.247859799021e-15     1.885140651339e-14    -2.171094903849e-04
         70.28033469       1.49618522e-15    -1.298257241016e-14    -1.849571959804e-14    -2.132506031926e-04
         70.69374842      -1.49877719e-15     2.223043220919e-14     2.507592753196e-14    -2.092217833431e-04
         71.10716215       1.19015296e-15    -1.333825932551e-14    -1.582806773294e-14    -2.050085799107e-04
         71.52057589      -7.60202853e-16     8.714329426001e-15     7.647268679960e-15    -2.005783699052e-04
         71.93398962      -3.88859553e-16     1.316041586784e-14     6.224521018572e-15    -1.958974803262e-04
         72.34740335       2.48037367e-15    -2.258611912453e-14    -2.151905837849e-14    -1.909537928332e-04
         72.76081709      -6.08927693e-16     5.513147187878e-15     3.734712611143e-15    -1.857705445142e-04
         73.17423082       1.65561700e-15    -1.422747661388e-14    -1.849571959804e-14    -1.804046813619e-04
         73.58764455      -1.16476072e-15     1.725081539433e-14     1.671728502131e-14    -1.749351455487e-04
         74.00105829       1.63333033e-15    -2.009631071710e-14    -2.472024061661e-14    -1.694503176848e-04
         74.41447202       2.43480855e-16    -7.469425222286e-15    -1.102629437576e-14    -1.640366903932e-04
         74.82788575      -2.04305333e-15     2.632083173568e-14     2.578730136266e-14    -1.587630919136e-04
         75.24129949      -3.16948569e-17     7.647268679960e-15     8.892172883674e-15    -1.536578412194e-04
         75.65471322       6.44909750e-16    -8.358642510654e-15    -5.335303730205e-16    -1.486884617041e-04
         76.06812695      -1.36568198e-16     1.600591119061e-15    -1.778434576735e-16    -1.437606281771e-04
         76.48154069      -5.79365070e-16     1.404963315621e-14     5.335303730205e-15    -1.387437030906e-04
         76.89495442       1.13198404e-15    -6.758051391593e-15    -9.425703256695e-15    -1.335106456630e-04
         77.30836815       9.61101693e-16    -6.935894849266e-15    -8.180799052980e-15    -1.279691062611e-04
         77.72178189      -1.25862495e-15     1.458316352923e-14     8.002955595307e-15    -1.220699394878e-04
         78.13519562      -4.92876028e-16     1.013707708739e-14     8.892172883674e-15    -1.158001601772e-04
         78.54860935      -7.64149809e-16     3.379025695796e-15     5.335303730205e-15    -1.091781699984e-04
         78.96202309       1.04936425e-15    -1.582806773294e-14    -1.831787614037e-14    -1.022590255810e-04
         79.37543682      -1.56785710e-15     1.565022427527e-14     1.387178969853e-14    -9.513857623368e-05
         79.78885055      -1.25444864e-15     2.009631071710e-14     1.440532007155e-14    -8.793969690041e-05
         80.20226429      -1.58522468e-15     2.134121492082e-14     2.454239715894e-14    -8.077934123965e-05
         80.61567802      -1.85538179e-16     7.113738306940e-16    -7.113738306940e-16    -7.373555246328e-05
         81.02909175      -1.23523633e-15     1.885140651339e-14     2.205258875151e-14    -6.683596281485e-05
         81.44250549      -1.52991601e-15     1.565022427527e-14     2.080768454780e-14    -6.006981679364e-05
         81.85591922      -1.43959422e-15     1.422747661388e-14     1.778434576735e-14    -5.340480497430e-05
         82.26933295       2.52385896e-15    -3.005554434682e-14    -3.450163078866e-14    -4.679094119871e-05
         82.68274669       1.32976771e-16    -6.402364476246e-15    -1.582806773294e-14    -4.015546742504e-05
         83.09616042       1.89236748e-17     7.113738306940e-16    -3.912556068817e-15    -3.341023845219e-05
         83.50957416      -3.97174008e-16     7.113738306940e-15     9.603546714368e-15    -2.648425937869e-05
         83.92298789       5.26932572e-16    -1.209335512180e-14    -5.157460272531e-15    -1.936583913694e-05
         84.33640162       2.14022391e-15    -2.454239715894e-14    -2.667651865102e-14    -1.212132605527e-05
