# Photoabsorption spectrum from real-time propagation
# GPAW version: 20.10.0
# Total time = 20.0000 fs, Time steps = [10.0000] as
# Kick = [0, 0, 1e-05]
# Gaussian folding, Width = 0.2123 eV = 0.007802 Hartree <=> FWHM = 0.499928 eV
#    om (eV)                  S_x                  S_y                  S_z
    1.350000    -0.0000000000e+00    -0.0000000000e+00     2.0358758821e-02
    1.400000    -0.0000000000e+00    -0.0000000000e+00     4.2207668849e-02
    1.450000    -0.0000000000e+00    -0.0000000000e+00     8.2693862983e-02
    1.500000    -0.0000000000e+00    -0.0000000000e+00     1.5310470799e-01
    1.550000    -0.0000000000e+00    -0.0000000000e+00     2.6788691289e-01
    1.600000    -0.0000000000e+00    -0.0000000000e+00     4.4297974668e-01
    1.650000    -0.0000000000e+00    -0.0000000000e+00     6.9232354461e-01
    1.700000    -0.0000000000e+00    -0.0000000000e+00     1.0227045922e+00
    1.750000    -0.0000000000e+00    -0.0000000000e+00     1.4280026461e+00
    1.800000    -0.0000000000e+00    -0.0000000000e+00     1.8848028292e+00
    1.850000    -0.0000000000e+00    -0.0000000000e+00     2.3516891010e+00
    1.900000    -0.0000000000e+00    -0.0000000000e+00     2.7738855683e+00
    1.950000    -0.0000000000e+00    -0.0000000000e+00     3.0932009446e+00
    2.000000    -0.0000000000e+00    -0.0000000000e+00     3.2610226690e+00
    2.050000    -0.0000000000e+00    -0.0000000000e+00     3.2504213121e+00
    2.100000    -0.0000000000e+00    -0.0000000000e+00     3.0632239603e+00
    2.150000    -0.0000000000e+00    -0.0000000000e+00     2.7295014547e+00
    2.200000    -0.0000000000e+00    -0.0000000000e+00     2.2996664943e+00
    2.250000    -0.0000000000e+00    -0.0000000000e+00     1.8320365110e+00
    2.300000    -0.0000000000e+00    -0.0000000000e+00     1.3800707883e+00
    2.350000    -0.0000000000e+00    -0.0000000000e+00     9.8305176194e-01
    2.400000    -0.0000000000e+00    -0.0000000000e+00     6.6216889009e-01
    2.450000    -0.0000000000e+00    -0.0000000000e+00     4.2178211100e-01
    2.500000    -0.0000000000e+00    -0.0000000000e+00     2.5406489497e-01
    2.550000    -0.0000000000e+00    -0.0000000000e+00     1.4472701880e-01
    2.600000    -0.0000000000e+00    -0.0000000000e+00     7.7968044440e-02
    2.650000    -0.0000000000e+00    -0.0000000000e+00     3.9724925349e-02
    2.700000    -0.0000000000e+00    -0.0000000000e+00     1.9143046569e-02
    2.750000    -0.0000000000e+00     0.0000000000e+00     8.7253836175e-03
    2.800000     0.0000000000e+00     0.0000000000e+00     3.7617585607e-03
    2.850000     0.0000000000e+00     0.0000000000e+00     1.5337366673e-03
    2.900000     0.0000000000e+00     0.0000000000e+00     5.9084771944e-04
    2.950000     0.0000000000e+00     0.0000000000e+00     2.1441295238e-04
    3.000000     0.0000000000e+00     0.0000000000e+00     7.2679006105e-05
    3.050000     0.0000000000e+00     0.0000000000e+00     2.2596726673e-05
    3.100000     0.0000000000e+00     0.0000000000e+00     6.4087639186e-06
    3.150000     0.0000000000e+00     0.0000000000e+00     2.2173204386e-06
    3.200000     0.0000000000e+00     0.0000000000e+00     2.1964888819e-06
    3.250000     0.0000000000e+00     0.0000000000e+00     3.6895540982e-06
